geocode,geocode_desc,total,owned_loan,owned_clear,rented
3724640,FRANKLIN,3192,1247,672,1273
3724720,FRANKLINTON,1102,540,254,308
3724740,FRANKLINVILLE,749,270,155,324
3724900,FREMONT,591,245,156,190
3725020,FRISCO,195,79,59,57
3725160,FRUITLAND,1754,695,644,415
3725300,FUQUAY-VARINA,12218,9143,992,2083
3725380,GAMEWELL,3643,1726,962,955
3725460,GARLAND,285,93,117,75
3725480,GARNER,13928,9105,1841,2982
3725540,GARYSBURG,22,10,2,10
3725560,GASTON,623,205,210,208
3725580,GASTONIA,42123,22563,6894,12666
3725680,GATESVILLE,253,132,72,49
3725880,GERMANTON,782,510,182,90
3725900,GERTON,252,117,74,61
3725940,GIBSON,214,67,73,74
3725980,GIBSONVILLE,4984,3397,646,941
3726200,GLEN ALPINE,1339,743,303,293
3726460,GLEN RAVEN,2050,1139,400,511
3726520,GLENVILLE,96,43,30,23
3726680,GLOUCESTER,525,266,165,94
3726740,GODWIN,97,45,28,24
3726880,GOLDSBORO,12760,4985,2310,5465
3726920,GOLDSTON,246,133,63,50
3727120,GORMAN,603,330,149,124
3727280,GRAHAM,8306,4108,1609,2589
3727320,GRANDFATHER,25,16,9,0
3727420,GRANITE FALLS,4264,2338,599,1327
3727440,GRANITE QUARRY,2550,1475,363,712
3727520,GRANTSBORO,566,232,203,131
3727780,GREENEVERS,49,14,14,21
3727870,GREEN LEVEL,305,107,75,123
3728000,GREENSBORO,121212,67496,17926,35790
3728080,GREENVILLE,42822,17237,3985,21600
3728200,GRIFTON,1298,658,313,327
3728240,GRIMESLAND,255,79,86,90
3728400,GROVER,568,257,119,192
3728600,GULF,140,53,67,20
3728900,HALF MOON,5430,3486,474,1470
3728920,HALIFAX,149,83,38,28
3729000,HALLSBORO,170,61,54,55
3729120,HAMILTON,160,37,80,43
3729160,HAMLET,3483,1734,772,977
3729180,HAMPSTEAD,3730,2373,776,581
3729560,HARKERS ISLAND,1189,567,402,220
3729640,HARMONY,445,207,90,148
3729680,HARRELLS,102,59,35,8
3729720,HARRELLSVILLE,81,41,26,14
3729800,HARRISBURG,8517,6938,889,690
3730040,HASSELL,36,14,13,9
3730100,HATTERAS,487,227,137,123
3730120,HAVELOCK,11572,4445,817,6310
3730260,HAW RIVER,1663,906,383,374
3730280,HAYESVILLE,294,112,66,116
3730340,HAYS,1782,896,439,447
3730620,HEMBY BRIDGE,1311,806,237,268
3730660,HENDERSON,4163,1793,1170,1200
3730720,HENDERSONVILLE,9514,3082,2064,4368
3730800,HENRIETTA,341,73,143,125
3730900,HERTFORD,977,445,199,333
3731060,HICKORY,27173,13693,4416,9064
3731260,HIDDENITE,497,203,157,137
3731360,HIGHLANDS,859,385,290,184
3731400,HIGH POINT,51000,29999,7016,13985
3731440,HIGH SHOALS,593,291,99,203
3731490,HIGHTSVILLE,287,153,54,80
3731500,HILDEBRAN,1863,834,487,542
3731620,HILLSBOROUGH,3526,2198,402,926
3731660,HILLSDALE,797,558,76,163
3731860,HOBGOOD,163,63,62,38
3731880,HOBUCKEN,127,25,72,30
3731920,HOFFMAN,209,77,67,65
3731960,HOLDEN BEACH,554,232,241,81
3732100,HOLLISTER,16,7,8,1
3732180,HOLLY RIDGE,1058,474,172,412
3732260,HOLLY SPRINGS,19041,16579,774,1688
3732540,HOOKERTON,193,98,39,56
3732580,HOOPERS CREEK,1019,586,262,171
3732640,HOPE MILLS,8962,5711,763,2488
3732740,HORSE SHOE,2260,1447,565,248
3732840,HOT SPRINGS,526,113,228,185
3732980,HUDSON,3458,1876,746,836
3733120,HUNTERSVILLE,37239,28648,2500,6091
3733320,ICARD,2380,1066,668,646
3733460,INDIAN BEACH,110,66,35,9
3733560,INDIAN TRAIL,25575,20598,1878,3099
3733640,INGOLD,159,95,52,12
3733820,IRON STATION,664,363,165,136
3733940,IVANHOE,69,27,26,16
3733993,JAARS,384,130,101,153
3734000,JACKSON,280,130,121,29
3734038,JACKSON HEIGHTS,828,367,274,187
3734200,JACKSONVILLE,32458,11197,2324,18937
3734260,JAMES CITY,4500,2487,944,1069
3734300,JAMESTOWN,2699,1766,526,407
3734320,JAMESVILLE,304,113,102,89
3734440,JEFFERSON,1229,426,254,549
3734840,JONESVILLE,1825,671,399,755
3735200,KANNAPOLIS,27946,15077,4577,8292
3735340,KEENER,363,164,119,80
3735360,KELFORD,60,12,26,22
3735440,KELLY,294,101,145,48
3735460,KENANSVILLE,444,171,135,138
3735540,KENLY,765,296,130,339
3735600,KERNERSVILLE,17306,9496,2196,5614
3735720,KILL DEVIL HILLS,5846,3168,578,2100
3735760,KING,6316,3943,913,1460
3735870,KINGS GRANT,6192,3760,874,1558
3735880,KINGS MOUNTAIN,7309,3400,1477,2432
3735890,KINGSTOWN,57,24,11,22
3735920,KINSTON,5722,2751,1696,1275
3736020,KITTRELL,110,39,42,29
3736060,KITTY HAWK,3114,1964,463,687
3736080,KNIGHTDALE,5314,3782,335,1197
3736220,KURE BEACH,1947,985,349,613
3736400,LA GRANGE,1141,640,253,248
3736480,LAKE JUNALUSKA,2649,1231,887,531
3736500,LAKE LURE,1130,605,354,171
3736511,LAKE NORMAN OF CATAWBA,7006,4773,1289,944
3736512,LAKE PARK,2832,2270,224,338
3736513,LAKE ROYALE,2040,1296,432,312
3736514,LAKE SANTEETLAH,41,16,18,7
3736640,LAKE WACCAMAW,1068,572,269,227
3736860,LANDIS,2743,1538,554,651
3736960,LANSING,151,62,33,56
3737000,LASKER,97,48,37,12
3737040,LATTIMORE,333,156,98,79
3737120,LAUREL HILL,836,362,230,244
3737160,LAUREL PARK,1996,1011,640,345
3737220,LAURINBURG,6545,3392,1336,1817
3737260,LAWNDALE,478,214,110,154
3737640,LEGGETT,40,21,12,7
3737680,LELAND,11221,7270,1611,2340
3737760,LENOIR,13544,5914,2967,4663
3738030,LEWISTON WOODVILLE,75,25,31,19
3738040,LEWISVILLE,11299,8206,1888,1205
3738060,LEXINGTON,9124,3342,1893,3889
3738100,LIBERTY,1682,914,322,446
3738170,LIGHT OAK,169,65,59,45
3738200,LILESVILLE,267,105,116,46
3738220,LILLINGTON,1169,425,203,541
3738320,LINCOLNTON,6902,2749,1267,2886
3738360,LINDEN,99,58,30,11
3738680,LITTLETON,326,146,120,60
3738860,LOCUST,2666,1608,549,509
3739280,LONG VIEW,3525,1422,719,1384
3739360,LOUISBURG,1207,557,240,410
3739420,LOVE VALLEY,82,33,18,31
3739480,LOWELL,2912,1623,436,853
3739520,LOWESVILLE,2710,1993,413,304
3739540,LOWGAP,309,146,67,96
3739600,LUCAMA,499,189,150,160
3739680,LUMBER BRIDGE,71,46,19,6
3739700,LUMBERTON,8117,3721,1885,2511
3739880,MCADENVILLE,586,288,109,189
3739960,MACCLESFIELD,378,127,143,108
3740140,MCDONALD,45,18,26,1
3740240,MCFARLAN,67,19,44,4
3740460,MCLEANSVILLE,936,432,290,214
3740540,MACON,102,63,29,10
3740560,MADISON,1443,703,280,460
3740600,MAGGIE VALLEY,1052,495,300,257
3740640,MAGNOLIA,229,68,68,93
3740660,MAIDEN,2572,1356,548,668
3740860,MAMERS,736,342,240,154
3740980,MANNS HARBOR,710,265,176,269
3741060,MANTEO,1146,457,190,499
3741220,MARBLE,311,108,118,85
3741380,MARIETTA,75,23,42,10
3741420,MARION,5061,2005,1001,2055
3741540,MAR-MAC,1987,982,560,445
3741580,MARSHALL,821,264,235,322
3741600,MARSHALLBERG,395,183,139,73
3741620,MARS HILL,1067,439,264,364
3741640,MARSHVILLE,944,535,162,247
3741720,MARVIN,4710,4218,344,148
3741960,MATTHEWS,21428,14903,2579,3946
3742000,MAURY,273,104,104,65
3742020,MAXTON,475,226,138,111
3742060,MAYODAN,2108,722,476,910
3742100,MAYSVILLE,441,251,82,108
3742240,MEBANE,8186,5043,824,2319
3742480,MESIC,84,49,12,23
3742620,MICRO,345,124,77,144
3742640,MIDDLEBURG,39,13,11,15
3742700,MIDDLESEX,416,146,129,141
3742760,MIDLAND,2717,1775,495,447
3742860,MIDWAY,4095,2581,919,595
3743160,MILLERS CREEK,1977,855,636,486
3743200,MILLINGPORT,572,362,130,80
3743260,MILLS RIVER,6350,3759,1631,960
3743300,MILTON,88,40,23,25
3743360,MINERAL SPRINGS,2099,1517,346,236
3743440,MINNESOTT BEACH,399,214,136,49
3743480,MINT HILL,17187,12529,2784,1874
3743580,MISENHEIMER,230,108,42,80
3743720,MOCKSVILLE,3442,1983,507,952
3743860,MOMEYER,198,60,97,41
3743880,MONCURE,375,205,86,84
3743920,MONROE,14171,8649,2009,3513
3744100,MONTREAT,394,153,155,86
3744160,MOORESBORO,256,126,66,64
3744220,MOORESVILLE,25239,16080,2323,6836
3744280,MORAVIAN FALLS,1284,618,366,300
3744320,MOREHEAD CITY,6713,2461,1219,3033
3744400,MORGANTON,10480,4572,2221,3687
3744520,MORRISVILLE,9666,5084,466,4116
3744560,MORVEN,99,23,54,22
3744700,MOUNTAIN HOME,3013,1574,765,674
