geocode,geocode_desc,total,owned_loan,owned_clear,rented
3731440,HIGH SHOALS,269,120,47,102
3731490,HIGHTSVILLE,152,72,33,47
3731500,HILDEBRAN,806,321,245,240
3731620,HILLSBOROUGH,2324,1166,323,835
3731660,HILLSDALE,402,266,46,90
3731860,HOBGOOD,155,40,59,56
3731880,HOBUCKEN,66,13,39,14
3731920,HOFFMAN,212,89,70,53
3731960,HOLDEN BEACH,296,115,134,47
3732100,HOLLISTER,283,98,90,95
3732180,HOLLY RIDGE,584,249,97,238
3732260,HOLLY SPRINGS,8147,6599,518,1030
3732540,HOOKERTON,176,62,45,69
3732580,HOOPERS CREEK,437,232,125,80
3732640,HOPE MILLS,5621,3124,438,2059
3732740,HORSE SHOE,941,546,277,118
3732840,HOT SPRINGS,256,43,114,99
3732980,HUDSON,1568,712,391,465
3733120,HUNTERSVILLE,17423,11775,1374,4274
3733320,ICARD,1057,419,344,294
3733460,INDIAN BEACH,66,36,24,6
3733560,INDIAN TRAIL,11121,8541,1024,1556
3733640,INGOLD,162,63,53,46
3733820,IRON STATION,309,156,92,61
3733940,IVANHOE,111,40,45,26
3733993,JAARS,153,49,48,56
3734000,JACKSON,216,80,93,43
3734038,JACKSON HEIGHTS,458,182,168,108
3734200,JACKSONVILLE,19985,6025,1623,12337
3734260,JAMES CITY,2367,1145,587,635
3734300,JAMESTOWN,1380,803,286,291
3734320,JAMESVILLE,205,52,67,86
3734440,JEFFERSON,656,180,150,326
3734840,JONESVILLE,1030,323,255,452
3735200,KANNAPOLIS,16375,7402,2875,6098
3735340,KEENER,227,88,70,69
3735360,KELFORD,98,39,30,29
3735440,KELLY,266,70,142,54
3735460,KENANSVILLE,410,106,94,210
3735540,KENLY,569,164,117,288
3735600,KERNERSVILLE,10038,4444,1293,4301
3735720,KILL DEVIL HILLS,2813,1388,339,1086
3735760,KING,2856,1543,497,816
3735870,KINGS GRANT,3283,1796,520,967
3735880,KINGS MOUNTAIN,4122,1543,902,1677
3735890,KINGSTOWN,253,115,68,70
3735920,KINSTON,9365,2745,1686,4934
3736020,KITTRELL,71,23,31,17
3736060,KITTY HAWK,1415,812,242,361
3736080,KNIGHTDALE,4226,2647,226,1353
3736220,KURE BEACH,934,460,194,280
3736400,LA GRANGE,1233,474,284,475
3736480,LAKE JUNALUSKA,1286,513,501,272
3736500,LAKE LURE,606,305,202,99
3736511,LAKE NORMAN OF CATAWBA,3051,1922,692,437
3736512,LAKE PARK,1196,927,134,135
3736513,LAKE ROYALE,1066,633,263,170
3736514,LAKE SANTEETLAH,26,7,14,5
3736640,LAKE WACCAMAW,558,259,160,139
3736860,LANDIS,1267,627,316,324
3736960,LANSING,70,24,20,26
3737000,LASKER,55,21,21,13
3737040,LATTIMORE,133,52,52,29
3737120,LAUREL HILL,515,193,170,152
3737160,LAUREL PARK,1074,481,366,227
3737220,LAURINBURG,6351,2242,1141,2968
3737260,LAWNDALE,245,99,69,77
3737640,LEGGETT,24,9,9,6
3737680,LELAND,5833,3533,922,1378
3737760,LENOIR,7594,2720,1785,3089
3738030,LEWISTON WOODVILLE,220,79,65,76
3738040,LEWISVILLE,4936,3255,1014,667
3738060,LEXINGTON,7376,2185,1328,3863
3738100,LIBERTY,1091,469,241,381
3738170,LIGHT OAK,281,123,72,86
3738200,LILESVILLE,210,63,97,50
3738220,LILLINGTON,981,239,179,563
3738320,LINCOLNTON,4238,1285,777,2176
3738360,LINDEN,56,22,21,13
3738680,LITTLETON,327,81,108,138
3738860,LOCUST,1137,626,302,209
3739280,LONG VIEW,2067,753,459,855
3739360,LOUISBURG,1197,304,207,686
3739420,LOVE VALLEY,47,16,13,18
3739480,LOWELL,1393,712,256,425
3739520,LOWESVILLE,1123,757,213,153
3739540,LOWGAP,132,58,31,43
3739600,LUCAMA,398,143,103,152
3739680,LUMBER BRIDGE,45,21,17,7
3739700,LUMBERTON,8084,2335,1571,4178
3739880,MCADENVILLE,252,116,60,76
3739960,MACCLESFIELD,218,58,84,76
3740140,MCDONALD,43,16,23,4
3740240,MCFARLAN,42,9,26,7
3740460,MCLEANSVILLE,438,187,153,98
3740540,MACON,52,23,22,7
3740560,MADISON,1002,379,202,421
3740600,MAGGIE VALLEY,551,232,178,141
3740640,MAGNOLIA,340,83,82,175
3740660,MAIDEN,1248,612,305,331
3740860,MAMERS,321,133,120,68
3740980,MANNS HARBOR,322,103,86,133
3741060,MANTEO,681,216,123,342
3741220,MARBLE,132,43,54,35
3741380,MARIETTA,65,19,34,12
3741420,MARION,2791,893,624,1274
3741540,MAR-MAC,1456,580,354,522
3741580,MARSHALL,390,107,117,166
3741600,MARSHALLBERG,202,83,78,41
3741620,MARS HILL,538,186,146,206
3741640,MARSHVILLE,809,317,163,329
3741720,MARVIN,1553,1364,142,47
3741960,MATTHEWS,10526,6204,1434,2888
3742000,MAURY,229,63,66,100
3742020,MAXTON,980,266,230,484
3742060,MAYODAN,1173,334,295,544
3742100,MAYSVILLE,409,163,100,146
3742240,MEBANE,4716,2379,523,1814
3742480,MESIC,92,46,23,23
3742620,MICRO,188,49,47,92
3742640,MIDDLEBURG,53,20,15,18
3742700,MIDDLESEX,343,94,116,133
3742760,MIDLAND,1192,697,269,226
3742860,MIDWAY,1863,1037,503,323
3743160,MILLERS CREEK,892,328,321,243
3743200,MILLINGPORT,236,127,72,37
3743260,MILLS RIVER,2808,1507,836,465
3743300,MILTON,78,28,27,23
3743360,MINERAL SPRINGS,950,632,192,126
3743440,MINNESOTT BEACH,211,103,75,33
3743480,MINT HILL,8528,5466,1533,1529
3743580,MISENHEIMER,111,37,26,48
3743720,MOCKSVILLE,1976,968,342,666
3743860,MOMEYER,101,28,54,19
3743880,MONCURE,294,129,100,65
3743920,MONROE,11120,4904,1379,4837
3744100,MONTREAT,201,68,94,39
3744160,MOORESBORO,128,46,40,42
3744220,MOORESVILLE,12374,6508,1409,4457
3744280,MORAVIAN FALLS,754,282,212,260
3744320,MOREHEAD CITY,4114,1238,829,2047
3744400,MORGANTON,6641,2223,1396,3022
3744520,MORRISVILLE,7641,3357,341,3943
3744560,MORVEN,207,42,91,74
3744700,MOUNTAIN HOME,1441,626,416,399
3744770,MOUNTAIN VIEW,1363,857,287,219
3744800,MOUNT AIRY,4721,1571,1124,2026
3744900,MOUNT GILEAD,487,158,153,176
3744960,MOUNT HOLLY,5449,2855,766,1828
3745100,MOUNT OLIVE,1818,491,424,903
3745140,MOUNT PLEASANT,619,302,126,191
3745460,MOYOCK,1212,957,145,110
3745560,MULBERRY,971,444,329,198
3745640,MURFREESBORO,986,315,227,444
3745660,MURPHY,703,184,172,347
3745720,MURRAYSVILLE,5811,3831,442,1538
3745840,MYRTLE GROVE,3541,2263,637,641
3745880,NAGS HEAD,1223,626,201,396
3746000,NASHVILLE,2207,981,329,897
3746060,NAVASSA,570,279,160,131
3746280,NEUSE FOREST,772,490,142,140
3746340,NEW BERN,12770,4903,2006,5861
