geocode,geocode_desc,total,owned,rented
3755260,RANLO,857,615,242
3755340,RAYNHAM,27,22,5
3755640,RED OAK,984,846,138
3755660,RED SPRINGS,1320,892,428
3755900,REIDSVILLE,6013,3484,2529
3755940,RENNERT,88,57,31
3756100,REX,17,12,5
3756240,RHODHISS,170,152,18
3756340,RICHFIELD,197,147,50
3756360,RICHLANDS,399,252,147
3756440,RICH SQUARE,395,287,108
3756710,RIVER BEND,1343,1120,223
3756815,RIVER ROAD,1660,1291,369
3756900,ROANOKE RAPIDS,6909,4104,2805
3757000,ROBBINS,423,261,162
3757020,ROBBINSVILLE,346,168,178
3757100,ROBERSONVILLE,720,467,253
3757200,ROCKFISH,805,634,171
3757260,ROCKINGHAM,3966,2338,1628
3757340,ROCKWELL,744,566,178
3757500,ROCKY MOUNT,21435,11799,9636
3757640,ROLESVILLE,353,249,104
3757700,RONDA,178,135,43
3757740,ROPER,238,150,88
3757800,ROSEBORO,509,316,193
3757860,ROSE HILL,542,401,141
3758020,ROSMAN,210,130,80
3758140,ROWLAND,487,300,187
3758160,ROXBORO,3666,1858,1808
3758180,ROXOBEL,112,86,26
3758260,ROYAL PINES,2133,1565,568
3758360,RURAL HALL,1081,734,347
3758420,RUTH,137,106,31
3758440,RUTHERFORD COLLEGE,541,409,132
3758460,RUTHERFORDTON,1602,1009,593
3758620,ST. HELENA,162,143,19
3758630,ST. JAMES,385,350,35
3758720,ST. PAULS,859,489,370
3758730,ST. STEPHENS,3506,2741,765
3758740,SALEM,918,688,230
3758840,SALEMBURG,218,161,57
3758860,SALISBURY,10276,5493,4783
3758920,SALUDA,265,213,52
3759090,SANDY CREEK,91,77,14
3759135,SANDYFIELD,115,101,14
3759280,SANFORD,8550,4953,3597
3759340,SARATOGA,158,114,44
3759540,SAWMILLS,1942,1356,586
3759580,SAXAPAHAW,541,430,111
3759780,SCOTLAND NECK,987,495,492
3759980,SEABOARD,300,189,111
3760000,SEA BREEZE,546,485,61
3760060,NA,1851,1391,460
3760080,SEAGROVE,109,77,32
3760180,SEDALIA,226,200,26
3760320,SELMA,2254,1039,1215
3760505,SEVEN DEVILS,62,47,15
3760515,SEVEN LAKES,1399,1319,80
3760540,SEVEN SPRINGS,43,30,13
3760560,SEVERN,103,80,23
3760800,SHALLOTTE,534,420,114
3760940,SHANNON,78,51,27
3761060,SHARPSBURG,884,496,388
3761200,SHELBY,7927,4615,3312
3761320,NA,367,299,68
3761860,SILER CITY,2386,1409,977
3761920,SILVER CITY,424,299,125
3761950,SILVER LAKE,2280,1667,613
3762040,SIMPSON,189,162,27
3762060,SIMS,61,36,25
3762190,SKIPPERS CORNER,427,360,67
3762520,SMITHFIELD,4417,2362,2055
3762680,SNEADS FERRY,960,691,269
3762760,SNOW HILL,627,363,264
3763120,SOUTHERN PINES,4754,2993,1761
3763130,SOUTHERN SHORES,946,886,60
3763180,NA,2061,1600,461
3763240,SOUTH HENDERSON,452,300,152
3763400,SOUTHPORT,1095,764,331
3763470,SOUTH ROSEMARY,1184,835,349
3763560,SOUTH WELDON,497,249,248
3763680,SPARTA,825,458,367
3763720,SPEED,28,22,6
3763760,SPENCER,1308,851,457
3763780,SPENCER MOUNTAIN,16,4,12
3763880,SPINDALE,1662,1016,646
3763920,SPIVEY'S CORNER,149,103,46
3764160,SPRING HOPE,544,297,247
3764180,SPRING LAKE,3109,1113,1996
3764260,SPRUCE PINE,888,540,348
3764380,STALEY,125,107,18
3764420,STALLINGS,1180,970,210
3764460,STANFIELD,439,360,79
3764500,STANLEY,1201,822,379
3764560,STANTONSBURG,305,225,80
3764580,STAR,335,238,97
3764740,STATESVILLE,9338,5121,4217
3764840,STEDMAN,261,209,52
3764940,STEM,93,67,26
3765040,STOKESDALE,1201,993,208
3765100,STONEVILLE,469,335,134
3765120,STONEWALL,118,96,22
3765260,STONY POINT,552,383,169
3765320,STOVALL,155,125,30
3765530,SUGAR MOUNTAIN,121,91,30
3765580,SUMMERFIELD,2518,2272,246
3765900,SUNSET BEACH,909,821,88
3766040,SURF CITY,689,515,174
3766280,SWANNANOA,1652,1237,415
3766360,SWANSBORO,655,406,249
3766460,SWEPSONVILLE,383,318,65
3766500,SYLVA,1137,613,524
3766520,TABOR CITY,1020,652,368
3766700,TARBORO,4359,2555,1804
3766740,TAR HEEL,32,27,5
3766960,TAYLORSVILLE,746,432,314
3766980,TAYLORTOWN,308,252,56
3767000,TEACHEY,92,67,25
3767420,THOMASVILLE,7978,4232,3746
3767700,TOAST,821,625,196
3767720,TOBACCOVILLE,889,768,121
3768040,TOPSAIL BEACH,252,197,55
3768320,TRENTON,95,73,22
3768340,TRENT WOODS,1692,1590,102
3768400,TRINITY,2638,2120,518
3768500,TROUTMAN,638,504,134
3768520,TROY,1108,541,567
3768580,TRYON,869,557,312
3768740,TURKEY,93,72,21
3769260,UNIONVILLE,1670,1450,220
3769520,VALDESE,1886,1214,672
3769640,VALLEY HILL,891,683,208
3769680,VANCEBORO,385,241,144
3769720,VANDEMERE,123,103,20
3769740,VANDER,479,357,122
3769755,VANN CROSSROADS,127,108,19
3769795,VARNAMTOWN,203,178,25
