geocode,geocode_desc,median_age_b,median_age_m,median_age_f
3722920,FAYETTEVILLE,29.9,28.2,31.9
3722982,FEARRINGTON VILLAGE,72.3,73.1,71.5
3723520,FIVE POINTS,38,36.6,38.9
3723600,FLAT ROCK,64,64.6,63.6
3723640,FLAT ROCK,42.3,41.2,43.5
3723760,FLETCHER,39.2,38.3,40.2
3724080,FOREST CITY,40,36.9,42
3724170,FOREST HILLS,43.9,38.3,45.6
3724198,FOREST OAKS,46.8,46,47.4
3724380,FOSCOE,41.8,40,43.9
3724440,FOUNTAIN,44.1,41.3,45.4
3724520,FOUR OAKS,37.6,34.4,40.3
3724570,FOXFIRE,54.1,54.2,54
3724640,FRANKLIN,40.5,36.6,45.7
3724720,FRANKLINTON,41.4,40.2,43.3
3724740,FRANKLINVILLE,32.9,31.6,33.8
3724900,FREMONT,47.2,46.3,48.1
3725020,FRISCO,50,49.2,51.3
3725160,FRUITLAND,42.4,40.7,45.3
3725300,FUQUAY-VARINA,34.2,32.8,35.4
3725380,GAMEWELL,41.5,40.3,43.1
3725460,GARLAND,40.9,36.5,44.9
3725480,GARNER,37.1,35.4,38.6
3725540,GARYSBURG,44.7,37.4,47
3725560,GASTON,41.9,40.1,42.7
3725580,GASTONIA,38,36.4,39.4
3725680,GATESVILLE,46.6,44,48.3
3725880,GERMANTON,47.8,47.2,48.5
3725900,GERTON,47.8,46.1,49.2
3725940,GIBSON,37.3,32.3,38.8
3725980,GIBSONVILLE,38.4,36.9,39.9
3726200,GLEN ALPINE,39.6,39.1,40.1
3726460,GLEN RAVEN,37.3,36.1,38.1
3726520,GLENVILLE,55.3,55.8,53.8
3726680,GLOUCESTER,44,43.1,45.9
3726740,GODWIN,43.8,46.8,43.3
3726880,GOLDSBORO,36.1,32.7,39.5
3726920,GOLDSTON,49,49.1,48.9
3727120,GORMAN,38.9,38.4,40.2
3727280,GRAHAM,37.5,35.7,39.2
3727320,GRANDFATHER,71.5,65.5,74
3727420,GRANITE FALLS,38.9,37.3,40.4
3727440,GRANITE QUARRY,38.1,37,39.1
3727520,GRANTSBORO,42.4,42.2,43
3727780,GREENEVERS,34.3,34.3,34.3
3727870,GREEN LEVEL,35.4,33.8,37
3728000,GREENSBORO,33.4,32.1,34.6
3728080,GREENVILLE,26,25.7,26.4
3728200,GRIFTON,38.8,36.5,40.2
3728240,GRIMESLAND,38.5,37.3,39.3
3728400,GROVER,36.1,33.3,38.4
3728600,GULF,42.5,40.5,46.3
