geocode,total,owned_loan,owned_clear,rented
3767420,16869,8486,2576,5807
3767700,1246,545,365,336
3767720,2221,1376,490,355
3768040,355,144,108,103
3768320,155,78,45,32
3768340,3972,2568,943,461
3768400,6029,3636,1317,1076
3768500,1703,1008,312,383
3768520,1475,540,340,595
3768580,1203,460,323,420
3768740,154,80,60,14
3769020,3612,2061,779,772
3769260,5607,3908,916,783
3769520,4056,2043,827,1186
3769600,393,210,101,82
3769640,1846,991,498,357
3769680,668,254,151,263
3769720,113,31,54,28
3769740,757,350,178,229
3769755,285,154,81,50
3769795,532,252,223,57
3769840,530,234,140,156
3770320,256,141,72,43
3770340,420,205,126,89
3770380,1953,801,641,511
3770480,365,158,112,95
3770540,22374,16604,1373,4397
3770580,8,2,6,0
3770660,3531,2043,821,667
3770720,1818,729,438,651
3770740,2882,1922,644,316
3770780,1056,401,213,442
3770820,756,517,232,7
3770860,144,88,36,20
3770920,1559,737,404,418
3771100,472,225,144,103
3771160,848,307,295,246
3771220,4445,2077,964,1404
3771240,435,260,110,65
3771320,157,78,52,27
3771440,124,68,34,22
3771460,7813,6285,623,905
3771500,8492,2972,2177,3343
3771560,2842,1483,675,684
3771600,345,143,86,116
3771680,8518,6912,1186,420
3771760,3799,1937,955,907
3771780,395,189,145,61
3771860,3313,2272,317,724
3771900,2239,1389,498,352
3771940,6657,5654,615,388
3772150,1217,605,347,265
3772540,1163,395,258,510
3772600,1234,512,317,405
3772755,3796,3021,464,311
3773140,2760,1830,714,216
3773160,198,83,83,32
3773300,681,348,162,171
3773320,195,129,39,27
3773460,998,515,230,253
3773660,2634,1130,539,965
3773760,526,252,177,97
3774020,2405,886,506,1013
3774220,1849,640,589,620
3774440,72305,33242,10011,29052
3774540,19270,11063,3311,4896
3774580,1142,791,131,220
3774680,966,485,259,222
3774720,329,158,77,94
3774760,1205,693,194,318
3775000,105439,59343,18830,27266
3775060,5724,4548,516,660
3775080,192,76,44,72
3775280,4708,1730,968,2010
3775340,397,172,129,96
3775375,695,484,146,65
3775780,2906,1765,572,569
3775820,2378,843,345,1190
3775960,1787,785,388,614
3776000,511,188,152,171
3776200,798,330,123,345
3776220,1903,1142,264,497
