geocode,geocode_desc,total,owned_loan,owned_clear,rented
3724440,FOUNTAIN,44,211,48,28
3724520,FOUR OAKS,561,320,93,36
3724570,FOXFIRE,163,79,31,0
3724640,FRANKLIN,1495,80,24,20
3724720,FRANKLINTON,322,822,277,124
3724740,FRANKLINVILLE,368,135,34,15
3724900,FREMONT,200,580,112,95
3725020,FRISCO,59,0,0,0
3725160,FRUITLAND,454,20,1,1
3725300,FUQUAY-VARINA,2417,3566,1775,105
3725380,GAMEWELL,966,212,90,33
3725460,GARLAND,92,255,72,65
3725480,GARNER,3389,8414,4140,235
3725540,GARYSBURG,10,1016,334,324
3725560,GASTON,212,424,155,54
3725580,GASTONIA,14042,19498,6177,992
3725680,GATESVILLE,49,66,19,4
3725880,GERMANTON,90,32,18,0
3725900,GERTON,61,0,0,0
3725940,GIBSON,74,253,41,27
3725980,GIBSONVILLE,978,942,549,49
3726200,GLEN ALPINE,293,52,24,9
3726460,GLEN RAVEN,559,336,180,31
3726520,GLENVILLE,31,0,0,0
3726680,GLOUCESTER,94,0,0,0
3726740,GODWIN,24,38,11,25
3726880,GOLDSBORO,5839,18966,4745,1482
3726920,GOLDSTON,55,13,4,6
3727120,GORMAN,140,128,78,10
3727280,GRAHAM,2833,3160,852,118
3727320,GRANDFATHER,0,0,0,0
3727420,GRANITE FALLS,1403,63,23,12
3727440,GRANITE QUARRY,724,248,123,39
3727520,GRANTSBORO,131,65,42,15
3727780,GREENEVERS,23,514,177,128
3727870,GREEN LEVEL,192,1153,577,239
3728000,GREENSBORO,39565,103696,36969,4148
3728080,GREENVILLE,22348,29955,6320,1164
3728200,GRIFTON,365,1069,357,175
3728240,GRIMESLAND,93,151,53,13
3728400,GROVER,194,80,35,2
3728600,GULF,20,4,1,1
3728900,HALF MOON,1614,1810,1090,70
3728920,HALIFAX,28,72,11,36
3729000,HALLSBORO,62,269,75,128
3729120,HAMILTON,43,244,57,77
3729160,HAMLET,1029,2313,561,284
3729180,HAMPSTEAD,598,194,91,59
3729560,HARKERS ISLAND,220,0,0,0
3729640,HARMONY,159,29,21,3
3729680,HARRELLS,15,63,26,27
3729720,HARRELLSVILLE,14,25,10,1
3729800,HARRISBURG,717,1947,1697,43
3730040,HASSELL,9,48,20,19
3730100,HATTERAS,131,0,0,0
3730120,HAVELOCK,6913,3381,1128,120
3730260,HAW RIVER,417,230,85,16
3730280,HAYESVILLE,118,0,0,0
3730340,HAYS,447,6,4,2
3730620,HEMBY BRIDGE,276,114,66,5
3730660,HENDERSON,1390,9543,1721,953
3730720,HENDERSONVILLE,4806,1181,279,149
3730800,HENRIETTA,136,71,30,15
3730900,HERTFORD,338,1002,211,141
3731060,HICKORY,10655,5525,1436,298
3731260,HIDDENITE,146,1,0,0
3731360,HIGHLANDS,199,0,0,0
3731400,HIGH POINT,15427,33825,12399,1394
3731440,HIGH SHOALS,206,47,22,0
3731490,HIGHTSVILLE,80,21,7,2
3731500,HILDEBRAN,546,28,22,0
3731620,HILLSBOROUGH,955,1568,642,202
3731660,HILLSDALE,165,57,50,5
3731860,HOBGOOD,39,171,41,60
3731880,HOBUCKEN,30,0,0,0
3731920,HOFFMAN,65,333,168,90
3731960,HOLDEN BEACH,81,4,0,3
3732100,HOLLISTER,1,167,75,54
3732180,HOLLY RIDGE,437,115,37,19
3732260,HOLLY SPRINGS,1769,3148,1946,313
3732540,HOOKERTON,57,152,45,36
3732580,HOOPERS CREEK,174,4,0,0
3732640,HOPE MILLS,2721,4085,2276,66
3732740,HORSE SHOE,255,14,10,0
3732840,HOT SPRINGS,193,2,0,2
3732980,HUDSON,853,86,32,3
3733120,HUNTERSVILLE,6827,4394,2592,197
3733320,ICARD,651,6,1,0
3733460,INDIAN BEACH,9,0,0,0
3733560,INDIAN TRAIL,3448,3386,2509,95
3733640,INGOLD,27,119,44,41
3733820,IRON STATION,136,54,25,10
3733940,IVANHOE,18,186,89,63
3733993,JAARS,155,6,0,1
3734000,JACKSON,29,166,63,43
3734038,JACKSON HEIGHTS,209,240,104,44
3734200,JACKSONVILLE,21099,12393,3577,569
3734260,JAMES CITY,1137,758,297,136
3734300,JAMESTOWN,408,473,217,9
3734320,JAMESVILLE,90,167,42,27
3734440,JEFFERSON,576,12,4,0
3734840,JONESVILLE,786,257,82,53
3735200,KANNAPOLIS,9055,8657,3096,582
3735340,KEENER,86,86,47,11
3735360,KELFORD,22,191,96,43
3735440,KELLY,48,234,70,120
3735460,KENANSVILLE,146,277,68,45
3735540,KENLY,372,462,110,89
3735600,KERNERSVILLE,6052,2903,1256,58
3735720,KILL DEVIL HILLS,2263,80,3,0
3735760,KING,1489,114,91,4
3735870,KINGS GRANT,1632,1166,518,72
3735880,KINGS MOUNTAIN,2483,2286,692,207
3735890,KINGSTOWN,22,600,282,127
3735920,KINSTON,1382,14389,3713,1315
3736020,KITTRELL,29,58,21,27
3736060,KITTY HAWK,716,31,13,0
3736080,KNIGHTDALE,1331,4387,2708,53
3736220,KURE BEACH,623,12,11,0
3736400,LA GRANGE,249,1592,551,279
3736480,LAKE JUNALUSKA,548,10,4,0
3736500,LAKE LURE,172,23,4,3
3736511,LAKE NORMAN OF CATAWBA,979,192,111,38
3736512,LAKE PARK,351,233,179,2
3736513,LAKE ROYALE,325,378,227,38
3736514,LAKE SANTEETLAH,7,0,0,0
3736640,LAKE WACCAMAW,227,117,44,24
3736860,LANDIS,703,100,40,2
3736960,LANSING,56,0,0,0
3737000,LASKER,12,18,5,1
3737040,LATTIMORE,79,13,2,2
3737120,LAUREL HILL,244,263,84,104
3737160,LAUREL PARK,353,12,3,0
3737220,LAURINBURG,1843,7262,2064,811
3737260,LAWNDALE,156,91,51,8
3737640,LEGGETT,7,20,2,10
3737680,LELAND,2462,1366,620,76
3737760,LENOIR,4871,2246,651,202
3738030,LEWISTON WOODVILLE,19,456,182,101
3738040,LEWISVILLE,1233,674,455,39
3738060,LEXINGTON,4483,5078,1320,316
3738100,LIBERTY,519,550,225,109
3738170,LIGHT OAK,56,507,235,98
3738200,LILESVILLE,46,263,92,93
3738220,LILLINGTON,577,732,122,171
3738320,LINCOLNTON,3538,1368,265,70
3738360,LINDEN,11,20,0,6
3738680,LITTLETON,60,318,63,51
3738860,LOCUST,560,64,47,10
3739280,LONG VIEW,1471,559,177,40
3739360,LOUISBURG,439,1202,186,154
3739420,LOVE VALLEY,31,0,0,0
3739480,LOWELL,882,303,212,20
3739520,LOWESVILLE,316,131,66,27
3739540,LOWGAP,100,3,3,0
3739600,LUCAMA,185,281,158,32
3739680,LUMBER BRIDGE,6,14,2,1
3739700,LUMBERTON,2697,7290,1329,803
3739880,MCADENVILLE,189,13,0,5
