geocode,total,owned_loan,owned_clear,rented
3744770,517,300,229,8
3744800,3128,869,261,98
3744900,110,667,192,180
3744960,3146,1730,868,78
3745100,560,2142,569,345
3745140,447,60,27,9
3745460,284,261,202,28
3745560,445,20,4,5
3745640,273,1024,261,140
3745660,611,52,12,2
3745720,2826,1988,1246,145
3745840,1382,272,138,36
3745880,808,34,8,0
3746000,676,2382,910,204
3746060,80,968,468,253
3746280,312,145,60,10
3746340,5641,9581,2892,851
3746740,223,5,5,0
3746820,90,29,20,2
3746860,1071,304,134,11
3747000,3267,1691,564,139
3747020,103,58,14,7
3747240,190,505,122,89
3747260,35,27,16,3
3747485,1068,539,164,35
3747695,98,11,11,0
3747845,329,13,4,0
3747860,54,493,257,120
3747880,1329,467,143,32
3747980,454,521,160,117
3748040,222,247,98,104
3748060,30,191,74,71
3748345,2092,33,10,0
3748480,370,334,262,37
3748700,66,0,0,0
3748740,329,17,0,7
3748790,875,108,61,8
3748920,301,123,54,42
3748940,95,54,10,8
3749380,185,49,11,30
3749460,11,21,1,10
3749600,132,53,29,8
3749800,882,4486,1061,447
3750080,29,37,18,8
3750340,46,65,19,37
3750540,9,254,81,106
3750700,219,60,11,6
3750820,63,149,36,50
3751040,190,7,4,0
3751080,454,321,8,14
3751780,172,54,18,2
3751820,505,96,24,21
3751840,283,159,97,9
3751940,1688,441,206,39
3752000,153,10,0,5
3752020,401,260,74,42
3752140,161,893,209,145
3752160,23,0,0,0
3752220,2685,1652,199,12
3752260,3597,3047,1666,214
3752400,113,159,17,31
3752500,117,56,25,10
3752660,537,650,295,86
3752685,262,326,153,43
3752760,494,479,295,65
3752920,195,8,4,0
3753040,166,2586,519,342
3753140,136,719,114,109
3753160,184,8,3,0
3753200,70,91,29,2
3753475,1047,235,108,44
3753580,82,0,0,0
3753680,23,162,49,54
3753820,348,306,74,37
3753840,18,2008,847,347
3753900,21,23,10,12
3753950,19,5,0,4
3754160,378,402,238,41
3754580,488,1765,550,166
3754600,17,13,6,4
3755000,75042,112015,42387,3190
3755040,394,208,68,13
3755080,1264,236,105,13
3755260,627,552,427,12
3755340,5,13,13,0
3755460,109,9,9,0
3755640,323,326,255,16
3755660,290,1623,513,356
3755900,2644,5995,1775,570
3755940,35,113,45,33
3756100,10,4,3,0
3756240,232,9,0,0
3756340,137,59,21,20
3756360,302,277,132,51
3756440,44,566,255,137
3756600,57,152,80,49
3756710,531,184,82,12
3756815,468,997,363,238
3756900,3083,4810,860,280
3757000,280,17,0,6
3757020,222,0,0,0
3757100,81,986,280,193
3757200,447,694,484,24
3757260,1780,3161,670,213
3757340,559,24,13,0
3757500,4929,34441,11447,2614
3757540,301,197,89,56
3757580,110,2,0,0
3757640,337,679,572,20
3757700,93,4,0,0
3757740,48,476,119,104
3757800,198,511,124,115
3757860,177,506,139,104
3758020,257,2,0,0
3758040,86,158,86,40
3758140,38,727,173,177
3758160,1581,3786,857,279
3758180,23,106,51,12
3758260,626,169,60,9
3758340,64,48,12,4
3758360,655,456,227,22
3758420,51,30,9,6
3758440,291,4,1,0
3758460,1044,359,92,53
3758620,34,82,56,18
3758630,131,29,22,2
3758720,389,391,88,70
3758730,1444,358,190,11
3758740,427,23,8,1
3758840,110,30,15,4
3758860,5380,10966,2818,625
3758920,141,6,3,0
3758940,102,1,0,0
3759090,54,13,13,0
3759135,11,364,209,95
3759280,5332,7456,2330,558
3759340,46,167,97,0
3759540,1626,42,9,0
3759580,332,190,98,41
3759765,13,35,29,2
3759780,106,1367,264,224
3759980,33,477,177,98
3760000,301,163,80,40
3760080,80,9,6,2
3760180,24,474,321,105
3760320,1267,2261,604,166
3760505,54,6,6,0
3760515,343,145,80,38
3760540,31,9,6,0
3760560,28,87,15,43
3760800,1053,331,83,20
3760940,39,71,15,41
3761060,236,1186,297,154
3761200,3395,8204,2058,433
3761860,1241,1489,520,211
3761920,18,805,317,246
3761950,1196,499,293,29
3762040,47,158,53,38
3762060,56,48,23,4
3762190,361,285,196,23
3762520,2084,2781,681,248
3762680,900,105,51,30
3762760,221,826,284,142
3763120,2603,2957,786,316
3763130,330,7,2,0
3763240,146,599,166,130
3763340,82,83,34,30
3763360,224,57,27,18
3763400,628,423,130,112
3763470,363,1570,678,262
3763560,38,549,48,52
3763680,643,43,9,0
3763720,8,53,37,5
3763760,563,1041,349,25
3763780,26,0,0,0
3763880,1214,1070,345,183
3763920,61,105,54,15
3764160,264,614,125,113
3764180,4403,4327,1077,280
3764260,675,9,0,0
3764380,75,34,21,5
3764420,1187,775,597,59
3764460,273,19,3,1
3764500,926,350,172,20
3764560,115,347,175,51
3764580,180,82,3,0
3764740,4381,8268,2267,523
3764840,235,116,85,9
3764940,86,41,38,0
3765020,67,69,30,29
3765040,549,234,143,43
3765100,207,172,80,28
3765120,50,59,26,21
3765260,369,57,17,2
3765320,64,179,52,50
3765530,59,2,0,0
3765580,673,471,383,37
3765700,62,44,28,14
3765900,434,32,15,5
3766040,723,15,8,0
3766280,1104,132,47,20
3766340,31,89,22,22
3766360,866,94,24,0
3766460,220,65,50,4
3766500,1037,75,13,30
3766520,497,891,181,230
3766700,1300,5090,1348,364
3766740,25,0,0,0
3766960,732,245,78,43
3766980,28,467,188,157
3767000,36,161,80,36
3767420,6442,5179,1719,371
3767700,383,46,19,5
3767720,359,154,135,14
3768040,103,5,5,0
3768320,32,96,44,23
3768340,470,84,41,7
3768400,1107,320,169,88
3768500,392,516,281,67
3768520,678,809,152,95
3768580,454,267,110,85
3768740,17,77,34,21
3769020,799,55,41,0
3769260,799,100,45,31
3769520,1212,50,15,0
3769600,86,0,0,0
3769640,382,37,19,6
3769680,263,296,73,27
3769720,28,122,28,78
3769740,230,309,145,53
3769755,50,18,5,4
3769795,57,3,3,0
3769840,185,91,37,17
3770320,43,62,23,11
3770340,89,116,27,29
3770380,514,3378,992,347
3770480,95,417,127,151
3770540,4600,4631,2612,223
3770580,5,4,4,0
3770660,700,818,496,88
3770720,733,990,339,162
3770740,336,25,25,0
3770780,448,247,76,54
3770820,10,34,29,3
3770860,20,66,27,8
3770920,443,0,0,0
3771100,103,346,110,55
3771160,305,1567,248,244
3771220,1479,4292,948,365
3771240,66,12,5,2
3771320,27,15,0,6
3771440,24,0,0,0
3771460,977,1147,709,127
3771500,3497,187,59,39
3771560,690,23,10,3
