geocode,vacant_total,for_rent,rented_unoccupied,for_sale,sold,seasonal,migrant,other
37009970502,322.000000000016,46,0,50.96313163307591,1.000000000001,225.000000000011,0,24
37009970701,1078.956815134515,42.996744987486,0,88.02370973161692,4,903.9454397690711,1.0000000000009999,78.017885390454
37009970702,632.437040906687,26.876576322165,3.000000000001,59.670680188964845,7,500.067813467982,0,61.305328667696
37009970801,574.338574520979,36.973385885652,0,58.73189702825975,9,427.883113134463,4.00173909128,56.754039855663
37009970802,812.271333100607,19,1,18.6272512328976,5.041494438031,737.146849786514,2,36
37011930100,1444.302853197375,87.000176351451,7.000176351429,281.8058659868666,2.000176351428,1191.689805729937,1,69.603537275406
37011930200,4108.155420371244,124.00001867744899,3,240.93541919625093,9,3812.155092267588,1,71.000160938916
37011930301,844,56,2,71.828347909941,10,627,2,120
37011930302,397.41620144504,106.999489634414,3,40.01338141593781,4,164.999869692676,0,100.41684211795
37011930400,432.994174536944,75.997967629564,0,55.29275655293528,8,208.99620690738,4,116
37013930101,277.12238210157,19,1,16.998973633957178,4,87.118799156554,0,159.003925106055
37013930102,240,17,9,241.190098338432,1,70,1,82
37013930200,238,69,7,41.44322765184649,7,23,0,111
37013930300,337.969226046811,86,3,104.48326906413358,5.984613023405,30,0,116.984613023406
37013930400,208.03077395319,38,3,85,7.015386976595,22,0,79.015386976595
37013930501,395,60,7,123.96534056869692,8,210,0,66
37013930502,113,19,1,42.002716623577,2,6,0,60
37013930600,229,11,6,104.1364101758605,3,119,0,67
37013930700,931,10,0,229.13998926855902,3,738,0,141
37013930800,573.999999999993,49,1,53.69866295201482,1,324.999999999999,6,174.999999999995
37013930900,813.000000000007,14,5,154.1512920803016,0,591.000000000007,0,143
37013931001,133.998025407128,32.999012703564,0,8.999272923941717,5,13,0,76.999012703564
37013931002,256.999999999998,51,2,32.53044505528761,4,109,0,79
37015960100,463.000000000002,79.000000000001,2,25.72530450756844,4,170,3,187
37015960200,239,38,0,11.847763796187614,3,37,0,150
37015960300,289.998162782632,68,2,45.12864897656,6,47,2,141.998162782632
37015960401,186,53,4,24.865665969979,3,33,0,78
37015960402,285,59,11,13,4,108,0,91
37017950101,321,27,2,34,5,104,61,111
