geocode,median_age_b,median_age_m,median_age_f
3731860,50.5,47.5,51.8
3731880,53.3,53.7,49
3731920,36.4,37.6,35.4
3731960,62.1,62.1,62.1
3732100,40.7,36.4,42.9
3732180,30.1,29.3,30.8
3732260,33.1,32.6,33.4
3732540,39.8,39.1,40.6
3732580,41.4,39.5,43.3
3732640,31.9,29.6,33.7
3732740,48.1,47.1,48.7
3732840,44,41.8,46.5
3732980,40.1,38,41.9
3733120,35.2,34.6,35.6
3733320,42.1,40.6,43
3733460,59.7,61.8,58.6
3733560,33.7,32.8,34.3
3733640,30.4,30.8,29.8
3733820,43.8,43.3,44.2
3733940,44.7,44.3,44.9
3733993,43.5,41.7,45.5
3734000,49.6,43.4,54.3
3734038,41.3,39,44.5
3734200,22.9,22.3,25.1
3734260,40.6,38.2,42.4
3734300,45.3,44.5,46.2
3734320,39.7,39.8,39.6
3734440,45.3,39,52.7
3734840,41.1,39.5,42.9
3735200,35.6,34.2,37
3735340,37.7,37.9,37.3
3735360,39.3,32.3,41
3735440,48.8,48.8,49
3735460,50.3,48,52.3
3735540,41,37.6,44.2
3735600,38.5,37.1,39.6
3735720,37.8,37.3,38.7
3735760,43.4,41,45
3735870,37.4,35.3,39.6
3735880,40.6,38.3,42.4
3735890,39.3,35,42.1
3735920,43.7,39.8,46.2
3736020,20.5,20.7,20.3
3736060,45.4,44.6,46.2
3736080,32.6,31.6,33.7
3736220,53.6,53.9,53.3
3736400,43.2,39.2,46.2
3736480,52.9,50.6,54.5
3736500,62.4,62.5,62.3
3736511,46.5,46.4,46.5
3736512,38.6,36,40.2
3736513,45,44,45.9
3736514,69.5,64.5,70.3
3736640,48.4,48.3,48.6
3736860,39.6,38.3,41.2
3736960,41,42,40.7
3737000,47.7,46.8,49.8
3737040,23.2,23.4,22.9
3737120,40.6,40.4,40.7
3737160,61.6,59.9,62.5
3737220,37.7,34.3,40.2
3737260,42.1,41.4,42.6
3737640,51,51,52
3737680,38.9,38,39.8
3737760,41.5,39.3,43.7
3738030,36.9,32.8,38.8
3738040,43.4,42.3,44.4
3738060,37.4,35.2,39.4
3738100,39.5,37.1,42
3738170,45.9,40.6,48.7
3738200,40,38.3,45.2
3738220,39.6,38.5,44.5
3738320,38.4,36.1,40.4
3738360,49.7,52.5,47.3
3738680,48.3,45.8,50.1
3738860,40.5,39.3,41.7
3739280,38.8,37.3,40.1
3739360,38.2,26.8,45.4
3739420,49.8,53.8,48.5
3739480,37.4,36.9,37.9
3739520,41.1,40.6,41.5
3739540,40.8,40.8,41
3739600,34.8,32.9,36.7
3739680,51,50.9,51.5
3739700,36.5,34.1,38.7
3739880,40.5,41.1,40
3739960,46.4,45,47.5
3740140,40.9,40.3,42
3740240,40.2,39.1,43.5
3740460,47,45.6,47.9
3740540,50.8,49.5,51.5
3740560,44.4,42.7,46
3740600,53.3,51.9,54.3
3740640,31.7,30,33.8
3740660,37.9,37.2,38.7
3740860,38,35,40.3
3740980,40.4,40.4,40.4
3741060,42.8,40.8,44.9
3741220,44.9,44.7,45.5
3741380,48.1,49,47.2
3741420,37.9,34.8,42.7
3741540,37.5,37.2,38
3741580,41,36.5,45.1
3741600,53.1,49.9,54.6
3741620,22.9,22.2,27.1
3741640,35.2,34.2,36.5
3741720,36.8,36.9,36.7
3741960,40.3,38.9,41.6
3742000,37.7,37.1,42.8
3742020,37.3,35.8,38.1
3742060,43.8,40.4,47.2
3742100,32.1,29.4,35.1
3742240,35.8,34.5,37
3742480,50,50,50
3742620,37.6,32.9,44
3742640,43.8,30.3,51.5
3742700,40.4,36.9,43.2
3742760,40.3,39.8,41.1
3742860,42.5,41.5,43.6
3743160,43.7,40.9,45.8
3743200,41.1,40.1,41.8
3743260,45.7,45,46.3
3743300,51,47.5,53
3743360,41.7,41.3,42.1
3743440,58.1,58.3,57.9
3743480,41.8,40.9,42.8
3743580,20.9,20.9,20.9
3743720,39.4,36.6,41
3743860,44,39.5,46.8
3743880,42.7,42.7,42.8
3743920,32.5,31.1,33.9
3744100,24.2,29.5,22.8
3744160,42.8,39.8,45.7
3744220,34.2,32.1,36
3744280,36.8,36.7,36.8
3744320,42.4,38.9,45.2
3744400,39.7,36.2,43.4
3744520,32.5,32.7,32.2
3744560,41.9,39,44.5
3744700,46.3,44.4,47.6
3744770,41.1,39.8,42.9
3744800,45.8,43,48.6
3744900,43,40.6,44.8
3744960,36.2,35.1,37.2
3745100,36.5,32,40.1
3745140,40.4,38.2,41.8
3745460,37,37.2,36.8
3745560,44,42.5,45.3
3745640,27.5,23.1,32.6
3745660,41.5,39.6,44.1
3745720,33.1,32.4,33.7
3745840,43.6,42.5,44.5
3745880,46.8,45.1,48.4
3746000,40.1,37.8,42
3746060,36,34.1,37.7
3746280,41,39.6,42.5
3746340,38.8,35.7,41.5
3746740,40.5,35.2,48.4
3746820,40.2,39.5,40.6
