geocode,total,owned,rented
37023020500,1292,818,474
37023020600,2501,1318,1183
37023020801,2317.0000000001137,1714.0000000000912,603.0000000000225
37023020802,1322,1034,288
37023020901,1428,1046,382
37023020902,1573,1036,537
37023021000,2215.4266148260795,1786.9329866352036,428.4936281908759
37023021100,2287.8513734086027,1710.9529289170812,576.8984444915219
37023021201,1548.999999999774,1242.9999999998213,305.99999999995276
37023021202,1687.5578195223266,1260.5641439702065,426.99367555212007
37023021203,1456.1442577317398,1257.3590041497835,198.7852535819565
37023021301,1746.0000000000437,1319.0000000000387,427.00000000000506
37023021302,1381.0020033683425,1103.0017558986126,278.00024746972997
37023021400,2035,995,1040
37025040501,1280.4505676418398,1167.587925731377,112.86264191046303
37025040502,1345.0000000000089,1210.0000000000082,135.00000000000077
37025040600,2018.0181191257236,1790.015703242291,228.00241588343252
37025040701,730,511,219
37025040703,1124.716292673211,466.61139294516806,658.1048997280429
37025040704,639.283707326789,421.38860705483194,217.89510027195703
37025040705,837,705,132
37025040800,1777,1081,696
37025040900,691,433,258
37025041001,1302.8007681369747,880.0363985516806,422.764369585294
37025041002,1162.2052985596606,547.7641005918052,614.4411979678555
37025041100,2006.5701234947446,1565.7566934478739,440.81343004687085
37025041201,1192.7914540460904,865.191698688653,327.59975535743735
37025041202,893.3121293733883,741.233090488734,152.0790388846542
37025041301,904.2840913593749,820.2781972080007,84.00589415137422
37025041304,28.999999999999996,20.999999999999996,7.999999999999999
37025041305,532.0000000000349,492.00000000002643,40.00000000000841
37025041306,240.97828953535858,222.08434361619308,18.893945919165503
37025041307,16.87419436995853,13.78453096631072,3.08966340364781
37025041503,655.5494323582182,597.412074268677,58.13735808954116
37025041504,625.9999999999869,599.9999999999866,26.000000000000384
37025041505,603.0191407164737,576.0159706946854,27.00317002178825
37025041506,1054.6086869351852,983.7314944007935,70.87719253439161
37025041507,710.9999999999184,665.9999999999252,44.999999999993236
37025041602,947,820,127
37025041603,1032.6138054642938,857.2365302370754,175.37727522721852
37025041604,1131.1336593812266,972.0983881556318,159.0352712255948
37025041701,1395.9999999996944,1145.999999999738,249.9999999999563
37025041702,1039.791750791098,907.85125056507,131.940500226028
37025041901,591,321,270
37025041902,1536,735,801
37025042000,1700.999999999944,1148.999999999948,551.999999999996
37025042101,1364,571,793
37025042102,973,805,168
37025042201,909,633,276
37025042202,1473,1160,313
37025042300,1925,865,1060
37025042401,1354,948,406
37025042402,1846.5054038029689,508.2890850545841,1338.216318748385
37025042501,1298.9524486277098,1179.9588841517793,118.99356447593067
37025042502,585,454.99999999999994,130
37025042503,714,629,85
37025042504,485,463.00000000000006,22
37025042601,1374,1345,29
37025042602,945.1475160947049,850.1311254175134,95.01639067719144
37025042603,1600.0045425380497,1447.0025070724223,153.00203546562736
37025042604,883.0298812038018,817.0246792474773,66.00520195632443
37027030100,2472,1355,1117
37027030200,2060,1510,550
37027030300,1626.999999999995,1206.9999999999957,419.9999999999993
37027030400,1867.0000000000664,1143.0000000000455,724.000000000021
37027030500,1762.000000000006,1426.000000000005,336.000000000001
37027030600,1417.0000000000532,1130.0000000000528,287.00000000000045
37027030700,2727.999999999995,1808.999999999996,918.999999999999
37027030801,1412.0029528765963,1168.0025785222635,244.00037435433276
37027030802,1187.0227425414612,978.0172305697454,209.00551197171586
37027030900,2022.028160830893,1639.023446278837,383.00471455205604
37027031000,1318.0437843172035,1114.0322545988995,204.0115297183039
37027031100,1840.2418297911317,1525.1209148954931,315.12091489563863
37027031201,1808.9999999999563,1426.9999999999584,381.999999999998
37027031202,1596.999999999962,1322.9999999999654,273.99999999999665
