geocode,total,owned_loan,owned_clear,rented
3740640,371,61,62,248
3740660,183,106,8,69
3740860,47,31,0,16
3740980,93,4,0,89
3741060,135,14,1,120
3741220,2,0,0,2
3741380,0,0,0,0
3741420,907,286,104,517
3741540,496,144,129,223
3741580,6,0,0,6
3741600,0,0,0,0
3741620,24,7,0,17
3741640,265,32,24,209
3741720,140,136,4,0
3741960,1453,763,66,624
3742000,44,0,4,40
3742020,40,26,0,14
3742060,88,14,10,64
3742100,42,26,4,12
3742240,549,245,31,273
3742480,0,0,0,0
3742620,41,11,0,30
3742640,4,4,0,0
3742700,136,36,51,49
3742760,94,68,16,10
3742860,128,36,35,57
3743160,95,3,9,83
3743200,8,6,1,1
3743260,226,58,22,146
3743300,0,0,0,0
3743360,126,69,6,51
3743440,31,5,0,26
3743480,1783,920,157,706
3743580,0,0,0,0
3743720,595,386,10,199
3743860,1,0,1,0
3743880,68,7,24,37
3743920,9511,3233,273,6005
3744100,11,0,0,11
3744160,0,0,0,0
3744220,2028,878,48,1102
3744280,474,86,82,306
3744320,554,96,204,254
3744400,2661,545,60,2056
3744520,987,393,22,572
3744560,15,0,2,13
3744700,285,59,49,177
3744770,127,95,3,29
3744800,633,159,39,435
3744900,4,0,0,4
3744960,711,231,29,451
3745100,399,84,66,249
3745140,29,8,0,21
3745460,106,75,8,23
3745560,88,60,5,23
3745640,66,3,13,50
3745660,54,22,0,32
3745720,702,419,13,270
3745840,128,79,7,42
3745880,81,5,2,74
3746000,89,40,9,40
3746060,141,76,23,42
3746280,74,56,6,12
3746340,1591,499,266,826
3746740,65,0,0,65
3746820,4,0,0,4
3746860,155,75,5,75
3747000,1589,499,37,1053
3747020,90,10,0,80
3747240,71,4,6,61
3747260,33,14,11,8
3747485,155,72,1,82
3747695,18,9,0,9
3747845,31,0,5,26
3747860,24,15,4,5
3747880,546,96,27,423
3747980,132,51,2,79
3748040,141,37,8,96
3748060,10,6,3,1
3748345,74,16,3,55
3748480,169,133,11,25
3748700,20,0,3,17
3748740,180,18,8,154
3748790,131,83,18,30
3748920,10,0,0,10
3748940,16,4,12,0
3749380,11,3,2,6
3749460,14,4,0,10
3749600,22,7,4,11
3749800,384,79,28,277
3750080,13,3,9,1
3750340,27,14,0,13
3750540,0,0,0,0
3750700,13,9,3,1
3750820,3,0,0,3
3751040,39,5,2,32
3751080,46,2,2,42
3751780,26,23,0,3
3751820,50,17,0,33
3751840,72,45,3,24
3751940,229,135,23,71
3752000,14,3,8,3
3752020,217,88,56,73
3752140,0,0,0,0
3752160,11,4,5,2
3752220,1480,270,21,1189
3752260,1483,630,57,796
3752400,109,6,13,90
3752500,13,10,3,0
3752660,297,163,35,99
3752685,87,12,22,53
3752760,216,98,56,62
3752920,31,9,0,22
3753040,32,3,2,27
3753140,8,2,2,4
3753160,20,0,1,19
3753200,6,0,4,2
3753475,112,42,7,63
3753580,13,9,0,4
3753680,10,4,0,6
3753820,70,5,6,59
3753840,16,8,0,8
3753900,0,0,0,0
3753950,13,0,0,13
3754160,191,116,10,65
3754580,399,134,5,260
